EPISODE, MAX_X, MAX_SCORE
0, -0.33927539151499947, -200.0
1, -0.46050491262721954, -200.0
2, -0.44398914556694613, -200.0
3, -0.416381411824528, -200.0
4, -0.5081853684340892, -200.0
5, -0.5185467764410572, -200.0
6, -0.4233075133304326, -200.0
7, -0.40299263406443825, -200.0
8, -0.43846622984857186, -200.0
9, -0.4487540717819992, -200.0
10, -0.49405183179811446, -200.0
11, -0.5217996821794161, -200.0
12, -0.46290790511182717, -200.0
13, -0.48964706919193896, -200.0
14, -0.3755425535398916, -200.0
15, -0.4684802962542508, -200.0
16, -0.41522946537173, -200.0
17, -0.4038628071682913, -200.0
18, -0.5139510141727938, -200.0
19, -0.39144228889761423, -200.0
