EPISODE, MAX_X, MAX_SCORE
0, -0.30732575933835277, -200.0
1, -0.28826508124731076, -200.0
2, -0.3817144710716105, -200.0
3, -0.3563333819031507, -200.0
4, -0.32437359240209523, -200.0
5, -0.35204469529018523, -200.0
6, -0.3755310899091293, -200.0
7, -0.3003801714530052, -200.0
8, -0.4011021807326723, -200.0
9, -0.20667689541447015, -200.0
10, -0.2675096636522105, -200.0
11, -0.34347178965371805, -200.0
12, -0.37576188065402916, -200.0
13, -0.2616184148740218, -200.0
14, -0.30638249687790464, -200.0
15, -0.3336476185712238, -200.0
16, -0.3314479595212526, -200.0
17, -0.37970827934658935, -200.0
18, -0.3554902787306995, -200.0
19, -0.3792362691418243, -200.0
