EPISODE, MAX_X, MAX_SCORE
0, -0.1492123539442642, -200.0
1, 0.07333317520482348, -175.0
2, -0.04903122077195328, -188.0
3, 0.02308235582348923, -183.0
4, -0.1464138086470489, -200.0
5, -0.013156983253464632, -185.0
6, -0.0504924445580684, -188.0
7, 0.11497287388477959, -176.0
8, 0.0036249171082801796, -189.0
9, 0.0026778825037576323, -185.0
10, -0.0699464483353435, -191.0
11, -0.12268839156110797, -200.0
12, -0.025306673626291402, -187.0
13, -0.013578340480593478, -183.0
14, -0.032939350975440165, -187.0
15, -0.06621001091066508, -192.0
16, -0.09284424913721491, -196.0
17, -0.17038198859422418, -200.0
18, 0.18969879017587993, -165.0
19, 0.036047938461010676, -182.0
