EPISODE, MAX_X, MAX_SCORE
0, -0.4699405693337185, -200.0
1, -0.531291572810281, -200.0
2, -0.3749745583809724, -200.0
3, -0.35656939606814225, -200.0
4, -0.38792015306735256, -200.0
5, -0.49274760765875825, -200.0
6, -0.373836364029198, -200.0
7, -0.48730706432329485, -200.0
8, -0.45333943717060987, -200.0
9, -0.5025380751810666, -200.0
10, -0.49524616018631906, -200.0
11, -0.48471530838113447, -200.0
12, -0.4146201750895326, -200.0
13, -0.5137633179535113, -200.0
14, -0.41461702442054305, -200.0
15, -0.3759825381266251, -200.0
16, -0.49020835628924886, -200.0
17, -0.409370056756444, -200.0
18, -0.44699332478409187, -200.0
19, -0.38735062264625525, -200.0
